S.No.,State/ UT,Number - 2010-11,Area - 2010-11,Number - 2005-06,Area - 2005-06,Number - % Variation,Area - % Variation
1,A&N Islands,12,22,12,22,1.84,0.05
2,Andhra Pradesh,13175,14293,12044,14489,9.39,-1.35
3,Arunachal Pradesh,109,384,109,361,0.61,6.21
4,Assam,2720,2999,2750,3049,-1.09,-1.62
5,Bihar,16191,6388,14657,6251,10.47,2.19
6,Chandigarh,1,1,1,1,-36.25,-24.73
7,Chhattisgarh,3746,5084,3461,5210,8.26,-2.41
8,D & N Haveli,15,20,14,21,1.83,-1.68
9,Daman & Diu,8,3,8,4,9.6,-17.78
10,Delhi,20,30,25,38,-19.02,-21.56
11,Goa,78,89,53,61,47.71,46.51
12,Gujarat,4886,9898,4661,10269,4.82,-3.61
13,Haryana,1617,3646,1603,3583,0.88,1.74
14,Himachal Pradesh,961,955,933,968,2.93,-1.41
15,Jammu & Kashmir,1449,895,1378,923,5.2,-2.94
16,Jharkhand,2709,3165,0,0,NA,NA
17,Karnataka,7832,12161,7581,12385,3.32,-1.8
18,Kerala,6831,1511,6904,1555,-1.06,-2.83
19,Lakshadweep,10,3,10,3,0.42,-1.03
20,Madhya Pradesh,8872,15836,7908,15994,12.19,-0.99
21,Maharashtra,13699,19767,13716,20005,-0.12,-1.19
22,Manipur,151,172,150,172,0.1,0
23,Meghalaya,210,287,203,241,3.11,19.37
24,Mizoram,92,105,90,110,2.36,-4.61
25,Nagaland,178,1074,169,1173,5.41,-8.41
26,Odisha,4667,4852,4356,5019,7.14,-3.34
27,Puducherry,33,22,31,24,5.56,-10.86
28,Punjab,1053,3967,1004,3963,4.79,0.08
29,Rajasthan,6888,21136,6186,20939,11.35,0.94
30,Sikkim,75,107,73,109,2.05,-1.77
31,Tamil Nadu,8118,6488,8193,6824,-0.91,-4.92
32,Tripura,578,285,565,280,2.31,1.61
33,Uttar Pradesh,23325,17622,22458,17906,3.86,-1.59
34,Uttarakhand,913,816,922,847,-0.97,-3.7
35,West Bengal,7123,5510,6992,5526,1.88,-0.29
TOTAL,TOTAL,138348,159592,129222,158323,7.06,0.8
